Ticker,name,sector,Opening_6_28_21,High_6_28_21,Low_6_28_21,Closing_6_28_21,Volume_6_28_21,Opening_6_29_21,High_6_29_21,Low_6_29_21,Closing_6_29_21,Volume_6_29_21,Openin_6_30_21,High_6_30_21,Low_6_30_21,Closing_6_30_21,Volume_6_30_21,Opening_7_1_21,High_7_1_21,Low_7_1_21,Closing_7_1_21,Volume_7_1_21,Opening_7_2_21,High_7_2_21,Low_7_2_21,Closing_7_2_21,Volume_7_2_21,Predicted_Opening_7_6_21
MMM,3M Company,Industrials,195.76,196.92,194.39,196.5,2100505,196.2,197.83,195.715,196.03,1858031,195.9,198.98,195.54,198.63,2592030,199.45,199.67,197.75,199.09,1857864,198.73,200.2927,197.94,199.89,1612945,198.54465244612965
ABT,Abbott Laboratories,Health Care,112.99,116.36,112.74,115.7,9567056,115.74,118.84,115.46,117.21,8150165,117.0,117.18,115.25,115.93,5844598,115.61,117.29,115.48,117.16,4739631,116.92,118.25,116.65,118.04,4787008,116.88868388675021
ABBV,AbbVie Inc.,Health Care,113.26,114.11,112.84,113.0,5128230,112.65,112.75,111.61,112.3,5794624,112.21,112.92,111.63,112.64,5042444,112.95,114.55,112.89,114.26,5306906,114.52,115.49,113.89,115.17,5719392,114.48391936664663
ABMD,Abiomed,Health Care,312.5,314.18,309.71,312.44,239002,311.31,315.91,309.8,313.27,207025,314.37,319.36,309.92,312.11,266080,311.02,317.57,311.02,312.91,276200,315.49,318.22,312.79,317.02,178054,315.09101328653605
ACN,Accenture,Information Technology,294.44,295.87,292.5,293.9,1662408,294.79,297.655,294.6,296.43,2060681,295.99,296.99,293.79,294.79,1595340,295.48,300.06,295.0,300.0,3104066,300.0,305.17,300.0,304.84,2280128,299.69586900429465
ATVI,Activision Blizzard,Communication Services,92.79,96.15,92.6,95.4,6932975,95.42,95.91,94.07,95.61,4158584,95.72,95.99,95.14,95.44,4372567,95.07,95.4,93.22,93.9,5055125,94.75,95.04,93.58,94.27,3101602,94.72895850835042
ADBE,Adobe Inc.,Information Technology,582.71,589.41,581.0,588.8,1657902,586.78,591.34,583.9,590.75,1161286,590.75,592.2402,585.0,585.64,1704224,583.33,587.7799,581.35,584.73,1646412,588.67,594.08,587.96,593.07,1744955,587.8108554587179
AMD,Advanced Micro Devices,Information Technology,86.38,88.0,86.15,87.08,29928589,87.41,90.3,86.66,89.52,45879620,90.82,94.335,90.6,93.93,70721525,94.04,94.175,91.7,93.31,58059019,93.28,95.27,92.205,94.7,51342975,93.29936232028786
AAP,Advance Auto Parts,Consumer Discretionary,204.07,204.59,202.25,204.51,548045,205.0,207.16,204.29,205.3,574555,206.22,207.6,204.15,205.14,569515,205.81,209.18,204.83,208.94,611314,208.93,211.16,208.22,211.05,522259,208.74435813442182
AES,AES Corp,Utilities,26.22,26.63,26.09,26.53,3359847,26.49,27.0,26.345,26.37,4447600,26.36,26.45,25.82,26.07,6329064,26.33,26.45,26.085,26.33,4103069,26.49,26.49,26.08,26.16,3312759,26.6011090833006
